HIIREGID,RA,DEC,EWHa6562,fluxHb4861,e_fluxHb4861,fluxOIII5006,e_fluxOIII5006,fluxHa6562,e_fluxHa6562,fluxNII6583,e_fluxNII6583,fluxSII6716,e_fluxSII6716,fluxSII6730,e_fluxSII6730
NGC0309-1,14.17124478639766,-9.907410102787944,82.82649722661985,52.79156177954681,0.3536988252247405,26.5664058266083,0.4818885976936297,162.4899231440233,0.3147116843182376,50.42075834496767,0.3155794653986172,22.80620985089321,0.3156375982062417,18.936091294925205,0.382292243312106
NGC0309-2,14.174416164792753,-9.907475388938773,82.86108240499587,41.33777321817258,0.3236879104546823,6.883989814019184,0.3418101263032719,186.67853326436625,0.3312003864611218,64.7615178747647,0.3348704670720113,23.93059299015758,0.2608843686567344,17.34965106419837,0.2605996057802188
NGC0309-3,14.17593896055279,-9.907375858350497,80.39113783102377,40.60856555610545,0.3760182468312582,5.716200632913496,0.4165067831977792,165.42245652272442,0.2772678271251856,52.28185577681768,0.313112076098695,19.834800214254415,0.2740617319466579,11.744296673202864,0.3002072891920779
NGC0309-4,14.172160154417488,-9.915075038839245,58.53164052276784,37.21181490167776,0.2985675040399539,4.803335281097802,0.3170374656007203,139.30704144084478,0.2733776304401519,44.4834718582764,0.2989503082223984,16.247965533383532,0.2789998404381395,10.93743055964719,0.2979268272567996
NGC0309-5,14.173811588172857,-9.908754341356154,53.9289460522547,28.85007345492736,0.3057314196999673,3.5578873683697227,0.3011146897416426,104.5880170332167,0.2608076841386421,36.32167332038004,0.269566714463482,10.690757413062506,0.2307062896829254,7.816055573253335,0.2564191088587371
NGC0309-6,14.175956108654958,-9.904782029562927,84.82508316065844,27.47165444645412,0.4417760098666373,11.391956115573018,0.3337249517961128,96.5269561739643,0.3515391218725128,30.819882578263957,0.3796896793399858,10.891892125089788,0.3691683027050649,9.06940949225345,0.4205546004838081
NGC0309-7,14.166621061272664,-9.913023220813848,46.774102038097375,30.27611742743856,0.4236937005471085,11.854342756535182,0.4698534525383199,90.66156780885794,0.2851948644285581,26.686640125627463,0.2727882644566137,14.609657189354513,0.2880833531544713,11.894124531275033,0.3089584899589945
NGC0309-8,14.173077823151432,-9.9146746664877,43.47228655107272,23.861173593276163,0.2436801198503437,1.359710611959548,0.2406762728116109,97.9728556676767,0.2407743041287424,27.97150918016937,0.2299267072263264,10.259400290892463,0.4227207539535224,7.434447267497,0.2705546078914813
NGC0309-9,14.177733889049906,-9.913846586840304,4.375073032228765,22.63106530085757,0.4908812249999672,13.31719215522262,0.5390976827025237,78.45045087075071,0.4688361319131948,49.71815941922313,0.4624821019503475,11.445059089113691,0.5320412401652282,9.292492523694044,0.788081400865848
NGC0309-10,14.181606866896637,-9.91439314256464,32.517945172991304,17.363443865309304,0.2794550575371869,2.6219686191861094,0.29674946895307,66.69053338208467,0.1928608409347306,19.0329765359494,0.2084082675708403,4.299470946330343,0.232047221416299,2.95620967978758,0.2351551716000579
NGC0309-11,14.174113820721866,-9.920683094989789,56.14093448259491,19.918082780035046,0.3120001964999485,5.901102889826781,0.2921335244778397,61.81841943745727,0.2570513951461596,21.089368001399198,0.2695356934361397,9.98232004837292,0.2512223817814539,7.338148891390302,0.2895268729766844
NGC0309-12,14.169503167491614,-9.908867951785108,49.69323466317916,13.5395321938307,0.3005976512893205,6.599134288246962,0.2684506559086959,51.85912319677964,0.2393010135692369,17.82949426955405,0.2484494427917259,8.25997126517483,0.2615405524707699,5.64351863582266,0.3090748396004413
NGC0309-13,14.175403644757708,-9.919081136686795,32.57233301017303,13.488989280099482,0.2595383343103135,0.8373737001245226,0.2458001952497883,58.83833347420192,0.2187902536736982,19.59496160091971,0.1817824619041327,5.477826619100289,0.2039094296503507,3.690450250681384,0.2500077382119004
NGC0309-14,14.174722237252428,-9.921358033411057,58.97350449138213,10.792421646017326,0.2268074477299315,3.104459213078778,0.2448683017452695,56.45140373658172,0.1990164437885885,19.545826189980865,0.1680357651992756,8.050148635125655,0.1841251951018146,6.791976636823826,0.1924813797637619
NGC0309-15,14.175727267553365,-9.906198967933484,58.205131913283374,19.94270336579583,0.3068390346558403,5.683345368485861,0.3535198291426329,73.76508415893987,0.2345238785961201,22.8943188079138,0.2706043879230628,10.786165738546508,0.2442459183004716,9.135324784175312,0.2403260779908232
NGC0309-16,14.177705018937822,-9.904554084903962,61.51445289236152,14.784308627950091,0.4573122542265012,6.181220204020726,0.3699084644782565,54.37292089593786,0.2746920445189825,16.04628358805128,0.3453254747282997,8.767090570921503,0.2719819367505827,5.844859099082699,0.3515451007453453
NGC0309-17,14.18569051950576,-9.911528211967315,54.677427527154784,8.309732954449604,0.4277755922170405,3.410552351896908,0.5083183865571776,40.6156711039368,0.3157879732562931,11.60549408779676,0.345202570033055,3.5900437230644666,0.3959193355749232,4.942807051451113,0.4054417416357047
NGC0309-18,14.178280287504588,-9.920663539917754,34.13045165503458,9.60835961400573,0.3304691728995166,1.4087265294771871,0.2542450048480709,51.04550435708236,0.2772875142093554,18.23214808554808,0.2530050350578974,5.742543213114852,0.3053587558853319,5.118263359139946,0.2868528844549503
NGC0309-19,14.16978952712935,-9.90973239829753,49.14145574543956,11.267273739300082,0.2772264117254174,2.8565083688156423,0.2422111522006886,50.95105639448681,0.1753954204919521,17.79897511350808,0.2028173352995038,6.933577729281753,0.2205551387913704,5.62138409538929,0.2710344310451844
NGC0309-20,14.169234679961129,-9.911644253075176,55.25508894457245,11.259782182285784,0.2335174647784845,2.0112462922448118,0.2683746773219433,40.81218552159116,0.1893411248479821,14.295453144518506,0.1986310485478858,6.77135907897759,0.2093461014930505,5.18514431705056,0.2150003836949753
NGC0309-21,14.180280717555377,-9.921019073904157,37.02094351450384,9.955535716626976,0.3130532049798633,1.3979610151434243,0.2631559414639244,43.09591067309484,0.239024629845377,14.475678187325874,0.2354901193777775,3.1854198735862003,0.2887769546675406,3.513610017165133,0.2307298720090019
NGC0309-22,14.178593517790862,-9.908211017927554,38.72383972670996,11.322809221806072,0.4271131637825215,1.0097079516706482,0.2731785739972468,43.32418031009668,0.3009077220724121,15.051061985236537,0.2768127629242469,4.029517641635667,0.2586405365411774,1.819642126247816,0.2369787022204046
NGC0309-23,14.168887056913004,-9.908172865071734,66.6315175803652,15.46798547365969,0.2951440563572676,12.763955207401873,0.3401095317701214,54.05226134871989,0.2661732169054023,14.455856608085954,0.2965234243721809,4.870400856344641,0.6662160257701977,5.589423999932812,0.4195020919101458
NGC0309-24,14.182458361878044,-9.908518701995606,37.762145899910514,9.709083312644044,0.985464415130734,-4.18317472245681,1.4123159431411672,39.04541986292527,0.5454747784884711,10.056704759754346,0.6222933365435196,0.9741987817526484,0.6601663780452048,3.6562746434027473,0.8027469936586654
NGC0309-25,14.180050961627211,-9.908599938587855,36.57975817244206,11.792488360722244,0.3351124450795981,1.2891265756697976,0.3142874815505128,49.05832057363367,0.2319006050142944,16.226180408540664,0.273149252444513,5.872789078941799,0.3063709763074477,2.914413849169327,0.6725816771407275
NGC0309-26,14.170454097453735,-9.908522833015304,39.46602178663455,12.98972298613538,0.2520859940439392,5.540761738276682,0.2676083594345635,49.28029357767773,0.2267340697688475,17.785905547041512,0.281464031193208,6.317532967824967,0.2471200711794947,4.51176460548355,0.2841792955705492
NGC0309-27,14.17379115799535,-9.921521932479482,55.508334813082215,10.86936116842084,0.2493871163051737,3.114373693896725,0.2301446434130241,50.11021593020519,0.2066714543964608,18.281414900223467,0.188859395990004,9.1859340883855,0.1925666847708486,7.202146942810113,0.2070023498677759
NGC0309-28,14.179362203399602,-9.920722715118377,34.33568724200954,8.09585773558971,0.256617294490471,0.9958167834159306,0.229763648655009,30.17086768683226,0.2184047854394669,10.712407086795368,0.1845217865757934,3.3846686409269235,0.2366064621619633,2.574674652527776,0.2096560710863098
NGC0309-29,14.180881817355187,-9.921622888002611,35.3077788643872,3.989499475313836,0.2505204139369346,0.6643658210069304,0.192379548929049,31.65804183299545,0.1717374892335117,11.610762776014449,0.1603382030773882,4.044009527295927,0.1731622912858796,2.923284055969293,0.1765336521475311
NGC0309-30,14.173219873287689,-9.920536744261575,45.9322613555572,8.624002246303736,0.3112338887258313,2.980093022044624,0.3401735533654869,38.38252411412155,0.2848414994554905,14.853760851494307,0.2748706487664329,10.23246056821137,0.3657944839998214,5.518916643496724,0.3606347081477663
NGC0309-31,14.177675281908328,-9.907796602321916,36.274562954454446,11.855675798113031,0.3448311056737702,0.6918175830325201,0.2698763614937812,42.778598197056425,0.2400013318240431,14.411621496025331,0.2403134777002885,4.448955835403324,0.2658359518469592,2.4932455784848644,0.2400223809235159
NGC0309-32,14.173056683484836,-9.915791696428762,34.00879866163908,12.320625393048456,0.4549082654822709,1.1780588943703558,0.2259766907914845,53.147415204589,0.2277982333952569,16.703755875512325,0.2249248380962306,5.5935491353790106,0.277292712020455,4.119792650625495,0.2886570318684477
NGC0309-33,14.173257537891628,-9.917009536758323,21.012562764390125,7.562674913532605,0.2570845246596662,2.0732010683499515,0.2456674009886882,28.42005189369129,0.1796755575066132,10.805934119162872,0.1961158427483406,3.5181362996133543,0.1931900097050655,1.9045341471608497,0.2120049387547441
NGC0309-34,14.180859762907456,-9.91526962124201,18.728374414263094,9.957072617559788,0.2433681488282029,1.2609308625420077,0.2657011987774008,37.2203733862418,0.2090056249361699,11.253735452739992,0.1979804730958077,1.7103228442710547,0.2351057888546735,1.678023586217426,0.2187117236175889
NGC0309-35,14.18139958414336,-9.909646334127425,23.86919170655993,8.478925443263083,0.2774034369560208,1.2893139478501512,0.3519191161737617,33.67889283297942,0.2525278049630231,9.544905924114545,0.2574004155214606,2.859078855675849,0.2431625683033496,0.668621624945449,0.2530663617652538
NGC0309-36,14.177838949070312,-9.916433132938652,17.29339617848846,7.978223383970365,0.2879032467201404,1.5335394722302431,0.2579465864078407,33.586361883092124,0.2473171386360832,8.700279530798081,0.2622472194524994,2.051416123168557,0.40079596417125,-0.0398834708196324,0.2831463308319615
NGC0309-37,14.172937224354897,-9.913309911263632,23.421235607564785,9.379968023989518,0.2767071888087659,0.8226498717009612,0.2058722401413591,39.14506252727804,0.2230961925675298,10.93411103457898,0.214963119313272,1.8842856504338867,0.2662468842231567,2.9284183924451592,0.3519083810080653
NGC0309-38,14.172243766984993,-9.916888378332978,25.766505010443225,9.497646913192952,0.2606246315788328,2.482464763616695,0.2799448210390565,33.73736524883662,0.2145062063811287,12.103935320291528,0.2349647900073318,2.925954598760105,0.230698068258769,2.2831235172792863,0.2627554469157925
NGC0309-39,14.180829303537749,-9.907784940779766,32.581550053596914,8.156400522555003,0.3011751517484626,2.742815433028712,0.2867883335626868,30.39399772231709,0.254050257891022,10.97565744722878,0.2376317958837114,2.795418542973721,0.2637865799357411,1.69205934112233,0.2499510425745513
NGC0309-40,14.174664254724837,-9.90603133785588,40.18936800611039,10.41336252033594,0.2656891160663565,1.8637481323374836,0.3154802844886226,38.34604891201273,0.2377808147358144,13.178457391906866,0.2287141657489658,5.656591570636321,0.2469259822616647,5.7107463386862864,0.248044743710209
NGC0309-41,14.16929219546182,-9.912304393611429,45.605081915935685,12.662337065551744,0.2378026000236578,1.837200036012743,0.3526185830476165,39.75547136497445,0.2142449538324521,11.403856851573195,0.2198909709954191,7.223018451687183,0.3137817787430194,3.663645536309577,0.2913299968572631
NGC0309-42,14.18175309447762,-9.913250000844958,19.116282571569368,10.180584378343084,0.218221536476823,0.7923274570855197,0.2339049890841484,35.27980989541854,0.1753947292456505,12.451895516860318,0.2007263369580555,4.147435840176518,0.2478008849437761,2.3502439275691915,0.2611978297715925
NGC0309-43,14.17553574382315,-9.919896130456411,21.61960504483963,5.386381064502343,0.2253634076687714,1.0185714249402948,0.2329523875446405,33.46272157192695,0.2335539661960526,12.026010797016973,0.240326035167647,4.654284295403506,0.2789729896645215,2.8040332221386755,0.3369618000002155
NGC0309-44,14.185881850159891,-9.912519595602609,,4.42670539424947,0.5102017077801453,1.068342964483221,0.6517152132876814,25.636396449369347,0.3568829206824008,10.471148726084287,0.3725290696367229,3.527953318180285,0.4329020804964646,2.890640509136847,0.4466491817134241
NGC0309-45,14.176951735167917,-9.905408963388744,40.40233633764797,9.967782418153591,0.3083488640678022,4.132273883892352,0.2937369073090646,37.66193495073588,0.2293044839375407,13.012779363655133,0.2450270006087496,5.505948802623514,0.2923507536328956,4.881676631870465,0.2886128922644356
NGC0309-46,14.17446242250689,-9.918285038579668,20.25938363468667,10.254204738583477,0.2898150354154951,0.8841006152137434,0.8533590811532339,38.89169468466011,0.2259732115522193,15.41775307641841,0.2382052779935012,5.518100633403696,0.2272584074518297,3.43915381128496,0.2243554470391243
NGC0309-47,14.17779633282052,-9.919941835261108,31.8635172811836,13.6364575258513,0.3367960370037354,2.3731946429218698,0.3338249880889988,50.55918924013807,0.2515216211825446,19.355904699999936,0.2364994755379063,4.857409488915012,0.2768669897469869,6.454681401366825,0.3169490221872111
NGC0309-48,14.182922862297948,-9.910414924445456,23.29207390668156,6.677726404329221,0.2731097899826292,0.2743549098407297,0.2007737151384666,27.41537431346436,0.1813168660606093,7.167382338237566,0.2032812742103569,2.822956740880465,0.2330811165262559,1.9557368814363223,0.2462318253760665
NGC0309-49,14.1780654602663,-9.905474854973887,38.03663128946801,8.135310319022993,0.2508397877783741,0.2213999123471218,0.2508927223397398,27.24173927468029,0.1863108890803527,8.761153096125026,0.1651249124739149,3.761146826282983,0.1924134693926772,3.435918423156205,0.1901886696325168
NGC0309-50,14.17951020523453,-9.921570327865844,22.765504183588128,6.019464823806524,0.2064233208779905,1.028171020400151,0.1940748383683258,31.120473180169203,0.163790833557404,12.782594947245435,0.1784764195506378,4.109595973045539,0.191272848757218,3.681703239083272,0.1776284894562362
NGC0309-51,14.172900325043589,-9.909786779241236,25.09940826963691,9.976423275423588,0.2715890513483887,1.835058984669663,0.2726551960420525,37.918623619735314,0.1986954263308496,12.228627024852974,0.2095614889903419,3.5455607165407685,0.1875708203225155,2.1964878934301817,0.2147902538206962
NGC0309-52,14.167967000426165,-9.907667359689952,50.87543299508742,10.058764096642872,0.2942807573621209,8.992497377834988,0.3610230896897548,30.38286795611279,0.2150498976633094,7.278336586286208,0.203153692393315,1.7847197369781704,0.2986230870415137,1.5403554087345404,0.2910054316752449
NGC0309-53,14.176553050048534,-9.919694023372474,21.09554579627337,7.55823271391817,0.2346895793870212,1.138260279055883,0.2518060818470042,31.823715207956297,0.226019563922905,12.38282434354385,0.2431054277407714,4.41166585550692,0.233413020711265,2.460253247849136,0.2599824449906266
